borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,year
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6215,4,NA,A1,179 BARCLAY AVENUE,NA,10312,1,0,1,5000,1118,1925,1,A1,770000,45576,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6217,13,NA,A1,109 BARCLAY AVENUE,NA,10312,1,0,1,5000,1617,1965,1,A1,870000,45646,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,10,NA,A5,76 LORRAINE AVE,NA,10312,1,0,1,9776,1394,2004,1,A5,870000,45600,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,24,NA,A5,49 ENDVIEW STREET,NA,10312,1,0,1,2260,1700,2004,1,A5,755000,45870,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,6,NA,A5,998 ARDEN AVENUE,NA,10312,1,0,1,3876,1400,2005,1,A5,710000,45586,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,40,NA,A5,8 RALPH AVENUE,NA,10312,1,0,1,2320,936,1991,1,A5,0,45721,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,52,NA,A5,35 JEANNETTE AVENUE,NA,10312,1,0,1,2400,1580,2004,1,A5,785000,45834,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6221,61,NA,A1,15 JEANNETTE AVENUE,NA,10312,1,0,1,4640,2350,2006,1,A1,1237000,45891,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6222,131,NA,A5,56 JEANNETTE AVENUE,NA,10312,1,0,1,2660,1600,2004,1,A5,725000,45622,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6226,148,NA,A2,915 CARLTON BOULEVARD,NA,10312,1,0,1,5200,920,1950,1,A2,680000,45644,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6228,35,NA,A1,138 EDGEGROVE AVENUE,NA,10312,1,0,1,4000,2000,1995,1,A1,0,45706,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6233,25,NA,A2,210 RENSSELAER AVENUE,NA,10312,1,0,1,4000,960,1960,1,A2,660000,45852,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6234,1,NA,A2,237 RENSSELAER AVENUE,NA,10312,1,0,1,5000,1144,1965,1,A2,760000,45609,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6234,61,NA,A1,197 RENSSELAER AVENUE,NA,10312,1,0,1,4000,2000,1998,1,A1,1080000,45580,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6238,7,NA,A1,443 JEFFERSON BOULEVARD,NA,10312,1,0,1,6000,1488,1940,1,A1,0,45834,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6238,45,NA,A1,464 ARDEN AVENUE,NA,10312,1,0,1,6350,2322,1975,1,A1,0,45581,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6242,26,NA,A5,46 MOSELY AVENUE,NA,10312,1,0,1,4125,1200,1975,1,A5,755000,45895,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,108,NA,A1,7 FURMAN STREET,NA,10312,1,0,1,7028,2076,1970,1,A1,840000,45580,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,186,NA,A1,43 PINE TERRACE,NA,10312,1,0,1,6000,2878,1960,1,A1,999000,45616,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,194,NA,A2,25 PINE TERRACE,NA,10312,1,0,1,7500,1848,1960,1,A2,0,45869,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6245,233,NA,A2,18 PINE TERRACE,NA,10312,1,0,1,4500,1008,1960,1,A2,815000,45687,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6246,11,NA,A1,5 POILLON AVENUE,NA,10312,1,0,1,9300,2884,1975,1,A1,0,45724,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6246,36,NA,A1,16 FURMAN STREET,NA,10312,1,0,1,10600,2404,1978,1,A1,1275000,45895,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6246,60,NA,A1,5031 AMBOY ROAD,NA,10312,1,0,1,9504,1572,1899,1,A1,799000,45667,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,2,NA,A1,263 ALBEE AVENUE,NA,10312,1,0,1,7830,2440,1970,1,A1,0,45588,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,2,NA,A1,263 ALBEE AVENUE,NA,10312,1,0,1,7830,2440,1970,1,A1,1645000,45876,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,161,NA,A1,35 ELY AVENUE,NA,10312,1,0,1,4452,1768,1965,1,A1,875000,45831,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,200,NA,A1,1026 ANNADALE ROAD,NA,10312,1,0,1,13720,1598,1945,1,A1,1500000,45833,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,233,NA,A2,104 NORTH PINE TERRACE,NA,10312,1,0,1,4000,2008,1965,1,A2,778000,45727,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6249,266,NA,A2,149 NORTH PINE TERRACE,NA,10312,1,0,1,7880,1912,1965,1,A2,0,45798,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6254,47,NA,A1,46 NORTH RAILROAD ST,NA,10312,1,0,1,8000,2240,1980,1,A1,960000,45653,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6261,69,NA,A2,257 EDGEGROVE AVENUE,NA,10312,1,0,1,5000,2310,1970,1,A2,999800,45896,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6264,21,NA,A1,224 RATHBUN AVENUE,NA,10312,1,0,1,6000,2658,1945,1,A1,580000,45818,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6267,9,NA,A1,313 SHELDON AVENUE,NA,10312,1,0,1,8000,1800,1945,1,A1,764451,45615,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6267,38,NA,A3,346 JEFFERSON BOULEVARD,NA,10312,1,0,1,6000,3360,2011,1,A3,1600000,45632,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6267,70,NA,A1,317 SHELDON AVENUE,NA,10312,1,0,1,4000,1120,1930,1,A1,800000,45600,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6272,19,NA,A1,14 CANTON AVENUE,NA,10312,1,0,1,3960,2267,2017,1,A1,1145000,45615,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6278,16,NA,A1,303 EDGEGROVE AVENUE,NA,10312,1,0,1,4000,1840,1984,1,A1,0,45741,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6278,41,NA,A1,353 EDGEGROVE AVENUE,NA,10312,1,0,1,7300,2320,1970,1,A1,750000,45716,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6281,20,NA,A1,380 IONIA AVENUE,NA,10312,1,0,1,6000,2360,1966,1,A1,799999,45628,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6281,40,NA,A2,387 EDGEGROVE AVENUE,NA,10312,1,0,1,6000,1596,1975,1,A2,0,45646,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6298,7,NA,A2,112 RAMONA AVENUE,NA,10312,1,0,1,4000,2220,1974,1,A2,908000,45833,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6304,15,NA,A3,404 VINELAND AVENUE,NA,10312,1,0,1,8500,3600,1992,1,A3,0,45617,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6304,15,NA,A3,404 VINELAND AVENUE,NA,10312,1,0,1,8500,3600,1992,1,A3,800000,45664,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6320,65,NA,A2,74 BUFFINGTON AVENUE,NA,10312,1,0,1,4000,1125,1965,1,A2,0,45744,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6320,69,NA,A5,66 BUFFINGTON AVENUE,NA,10312,1,0,1,3000,1724,1970,1,A5,581400,45824,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6323,1,NA,A1,264 ALBEE AVENUE,NA,10312,1,0,1,4000,1672,1975,1,A1,0,45670,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6353,40,NA,A1,110 BAYVIEW TERRACE,NA,10312,1,0,1,3200,2500,1992,1,A1,1400000,45608,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6364,87,NA,A3,19 LUNA CIRCLE,NA,10312,1,0,1,15600,4560,1980,1,A3,1775000,45847,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6366,8,NA,A1,406 SHIRLEY AVENUE,NA,10312,1,0,1,5760,3024,1975,1,A1,0,45755,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6366,15,NA,A1,392 SHIRLEY AVENUE,NA,10312,1,0,1,4000,1325,1935,1,A1,0,45590,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6366,38,NA,A1,344 SHIRLEY AVENUE,NA,10312,1,0,1,4240,1920,1970,1,A1,985000,45775,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6366,57,NA,A1,205 NOEL STREET,NA,10312,1,0,1,6000,2552,1975,1,A1,975000,45887,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6368,21,NA,A1,64 JANSEN STREET,NA,10312,1,0,1,6000,1820,1975,1,A1,985000,45608,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6370,43,NA,A1,278 HOLDRIDGE AVENUE,NA,10312,1,0,1,6565,2656,1975,1,A1,0,45621,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6373,11,NA,A2,146 FINGAL STREET,NA,10312,1,0,1,6000,667,1940,1,A2,500000,45750,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6373,40,NA,A5,10 WINSLOW PLACE,NA,10312,1,0,1,3442,2058,2015,1,A5,417000,45720,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6377,4,NA,A1,391 BARCLAY AVENUE,NA,10312,1,0,1,4078,3112,1992,1,A1,0,45776,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6378,67,NA,A3,141 EYLANDT STREET,NA,10312,1,0,1,6000,2972,1988,1,A3,0,45883,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6378,67,NA,A3,141 EYLANDT STREET,NA,10312,1,0,1,6000,2972,1988,1,A3,1150000,45735,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6382,52,NA,A1,111 TALLMAN STREET,NA,10312,1,0,1,4000,2360,1982,1,A1,0,45728,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6398,22,NA,A1,91 ALLEN PLACE,NA,10312,1,0,1,3200,1400,1965,1,A1,815000,45617,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6398,24,NA,A1,87 ALLEN PLACE,NA,10312,1,0,1,2720,2044,1945,1,A1,425000,45678,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6424,38,NA,A1,280 BARCLAY AVENUE,NA,10312,1,0,1,6000,2100,1975,1,A1,0,45762,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6431,17,NA,A3,45 DISCALA LANE,NA,10312,1,0,1,10132,6077,2014,1,A3,0,45827,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6431,64,NA,A3,85 POUGHKEEPSIE COURT,NA,10312,1,0,1,12498,3013,2011,1,A3,0,45827,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6431,183,NA,A5,363 POILLON AVENUE,NA,10312,1,0,1,2954,1775,2023,1,A5,855330,45569,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6441,172,NA,A2,38 NEWTON STREET,NA,10312,1,0,1,7500,360,1940,1,A2,0,45827,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6452,4,NA,A6,38 ZEPHYR AVENUE,NA,10312,1,0,1,3822,616,1940,1,A6,0,45742,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6452,11,NA,A6,24 ZEPHYR AVENUE,NA,10312,1,0,1,3864,480,1920,1,A6,0,45742,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6452,16,NA,A1,16 ZEPHYR AVENUE,NA,10312,1,0,1,6280,1600,1910,1,A1,0,45742,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6452,18,NA,A1,14 ZEPHYR AVENUE,NA,10312,1,0,1,3060,1200,1920,1,A1,0,45742,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6475,85,NA,A3,17 NICOLOSI LOOP,NA,10312,1,0,1,13390,5994,2002,1,A3,0,45589,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6475,162,NA,A3,160 NICOLOSI DRIVE,NA,10312,1,0,1,10480,5707,1989,1,A3,1460000,45834,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6475,528,NA,A5,343 ARBUTUS AVENUE,NA,10312,1,0,1,3369,1414,2011,1,A5,750000,45719,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6499,30,NA,A3,490 JANSEN STREET,NA,10312,1,0,1,21836,4346,1985,1,A3,0,45685,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6499,126,NA,A3,24 WENDY DRIVE,NA,10312,1,0,1,24540,3954,1986,1,A3,0,45656,2025
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6517,39,NA,A3,30 ARBUTUS WAY,NA,10312,1,0,1,13150,3790,1985,1,A3,1450000,45853,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,5426,17,NA,B9,11 OCEAN DRIVEWAY,NA,10312,2,0,2,10000,2375,1956,1,B9,800000,45896,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6209,8,NA,B9,188 SNEDEN AVENUE,NA,10312,2,0,2,2600,1592,2005,1,B9,0,45824,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6209,11,NA,B9,194 SNEDEN AVENUE,NA,10312,2,0,2,2600,1592,2005,1,B9,848000,45604,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6209,72,NA,B9,189 MOSELY AVENUE,NA,10312,2,0,2,2665,1592,2007,1,B9,0,45895,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6212,30,NA,B9,12 LUCY LOOP,NA,10312,2,0,2,3870,1500,2000,1,B9,0,45870,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6212,55,NA,B9,26 LUCY LOOP,NA,10312,2,0,2,5870,1500,2000,1,B9,0,45894,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6217,41,NA,B2,36 FABIAN STREET,NA,10312,2,0,2,7500,3100,1997,1,B2,10,45601,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6217,41,NA,B2,36 FABIAN STREET,NA,10312,2,0,2,7500,3100,1997,1,B2,10,45637,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6222,31,NA,B9,52 JEANETTE AVENUE,NA,10312,2,0,2,2825,1600,2004,1,B9,0,45726,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6227,21,NA,B2,170 DETROIT AVENUE,NA,10312,2,0,2,4000,2194,1983,1,B2,705642,45715,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6227,67,NA,B2,936 CARLTON BOULEVARD,NA,10312,2,0,2,4000,2320,2004,1,B2,1130000,45831,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6233,21,NA,B2,218 RENSSELAER AVENUE,NA,10312,2,0,2,4000,1936,2002,1,B2,1235000,45581,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6235,14,NA,B2,158 SINCLAIR AVENUE,NA,10312,2,0,2,6000,2655,1985,1,B2,0,45721,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6235,63,NA,B2,215 SHELDON AVENUE,NA,10312,2,0,2,4000,2135,1965,1,B2,930000,45770,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6238,29,NA,B2,228 CROWN AVENUE,NA,10312,2,0,2,8000,3828,1986,1,B2,0,45748,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6238,60,NA,B2,199 VINELAND AVENUE,NA,10312,2,0,2,4000,2230,2004,1,B2,990000,45667,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6238,76,NA,B2,227 VINELAND AVENUE,NA,10312,2,0,2,5000,2428,2012,1,B2,1500000,45672,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6240,42,NA,B2,184 BARCLAY AVENUE,NA,10312,2,0,2,4500,1980,1975,1,B2,850000,45897,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6240,135,NA,B3,4945 AMBOY ROAD,NA,10312,2,0,2,11880,2336,1986,1,B3,1085000,45588,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6246,16,NA,B2,3 POILLON AVENUE,NA,10312,2,0,2,5680,3331,2024,1,B2,1494282,45784,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6246,18,NA,B2,N/A POILLON AVENUE,NA,10312,2,0,2,5336,3331,2024,1,B2,1550000,45792,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6249,33,NA,B2,1044 ANNADALE ROAD,NA,10312,2,0,2,3825,2288,2013,1,B2,975000,45649,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6249,218,NA,B2,24 TENAFLY PLACE,NA,10312,2,0,2,5974,2298,2012,1,B2,0,45737,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6249,506,NA,B2,9 EAST TENAFLY AVENUE,NA,10312,2,0,2,4840,2924,1975,1,B2,10,45751,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6249,627,NA,B2,N/A BENNETT AVENUE,NA,10312,2,0,2,5205,3122,2019,1,B2,0,45852,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6249,646,NA,B2,39 TENAFLY PLACE,NA,10312,2,0,2,3936,2726,2019,1,B2,0,45600,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6250,35,NA,B2,55 TENAFLY PLACE,NA,10312,2,0,2,4218,2379,2014,1,B2,1350000,45772,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6250,100,NA,B2,77 TENAFLY PLACE,NA,10312,2,0,2,4275,2235,2014,1,B2,1150000,45729,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6252,27,NA,B2,10 BUFFINGTON AVENUE,NA,10312,2,0,2,6000,2440,1985,1,B2,0,45635,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6252,56,NA,B9,25 DOWNES AVENUE,NA,10312,2,0,2,3000,1480,1986,1,B9,320000,45728,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6254,34,NA,B2,70 NORTH RAILROAD STREET,NA,10312,2,0,2,6100,2440,1991,1,B2,0,45754,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6257,21,NA,S2,10 JEFFERSON BLVD,NA,10312,2,1,3,6250,3100,1974,1,S2,273000,45645,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6260,52,NA,B2,225 DETROIT AVENUE,NA,10312,2,0,2,4000,2400,2013,1,B2,1250000,45666,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6261,13,NA,B2,245 IONIA AVENUE,NA,10312,2,0,2,4000,2525,2019,1,B2,1190000,45866,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6264,33,NA,B2,204 RATHBUN AVENUE,NA,10312,2,0,2,6000,4076,2004,1,B2,1650000,45743,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6267,72,NA,B9,321 SHELDON AVENUE,NA,10312,2,0,2,2755,1560,2002,1,B9,0,45593,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6267,72,NA,B9,321 SHELDON AVENUE,NA,10312,2,0,2,2755,1560,2002,1,B9,880000,45868,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6267,73,NA,B9,323 SHELDON AVENUE,NA,10312,2,0,2,2755,1560,2002,1,B9,0,45593,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6267,73,NA,B9,323 SHELDON AVENUE,NA,10312,2,0,2,2755,1560,2002,1,B9,800000,45771,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6269,75,NA,B2,291 STAFFORD AVENUE,NA,10312,2,0,2,4000,2034,1975,1,B2,624000,45638,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6272,117,NA,B2,N/A CANTON AVENUE,NA,10312,2,0,2,4000,2448,2024,1,B2,990000,45635,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6273,1,NA,B2,766 WOODROW ROAD,NA,10312,2,0,2,10143,2368,1983,1,B2,0,45799,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6281,53,NA,B2,415 EDGEGROVE AVENUE,NA,10312,2,0,2,5000,3132,2024,1,B2,1486645,45755,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6281,56,NA,B2,419 EDGEGROVE AVENUE,NA,10312,2,0,2,5000,3132,2024,1,B2,1486645,45729,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6303,4,NA,B2,394 STAFFORD AVENUE,NA,10312,2,0,2,4500,3000,2023,1,B2,1374638,45588,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6303,6,NA,B2,N/A STAFFORD AVENUE,NA,10312,2,0,2,6300,4045,2023,1,B2,1909219,45688,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6305,114,NA,B1,375 VINELAND AVENUE,NA,10312,2,0,2,10000,2776,1986,1,B1,0,45692,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6305,140,NA,B2,416 CROWN AVENUE,NA,10312,2,0,2,10000,3192,1990,1,B2,0,45846,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6321,115,NA,B2,N/A ALVINE AVENUE,NA,10312,2,0,2,4000,2430,2022,1,B2,0,45707,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6350,20,NA,B2,120 BENNETT PLACE,NA,10312,2,0,2,9951,5184,1984,1,B2,1500000,45678,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6353,7,NA,B2,110 PEARE PLACE,NA,10312,2,0,2,5000,2950,1996,1,B2,0,45751,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6357,1,NA,B2,433 HOLDRIDGE AVENUE,NA,10312,2,0,2,7920,3246,1991,1,B2,1415000,45631,2025
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6357,5,NA,B2,427 HOLDRIDGE AVENUE,NA,10312,2,0,2,4000,2000,1990,1,B2,1125000,45873,2025
